person_id,day,dow,weekend,work_hours,screen_evening_h,sleep_hours,sleep_onset_h,steps,social_msgs,latent_stress,burnout,burnout_prob_true
2,31,3,False,9.85,3.16,5.61,23.89,6958,9,0.546,0,0.356
2,32,4,False,9.85,3.28,6.8,23.7,10564,22,0.546,0,0.356
2,33,5,True,3.33,2.54,4.72,25.65,10549,32,0.546,0,0.356
2,34,6,True,3.31,4.23,6.16,23.95,10649,32,0.546,0,0.356
2,35,0,False,11.66,3.29,5.51,23.62,4950,23,0.546,0,0.356
2,36,1,False,10.61,3.5,5.94,23.26,8061,36,0.546,0,0.356
2,37,2,False,9.89,3.24,5.09,25.02,3023,30,0.546,0,0.356
2,38,3,False,12.03,2.23,5.67,24.19,7027,36,0.546,0,0.356
2,39,4,False,9.93,3.23,6.75,24.22,12490,27,0.546,0,0.356
2,40,5,True,4.4,2.11,5.96,25.29,6489,4,0.546,0,0.356
2,41,6,True,4.24,3.96,6.57,23.88,5705,30,0.546,0,0.356
2,42,0,False,10.12,2.07,7.1,24.93,9419,32,0.546,0,0.356
2,43,1,False,10.12,3.45,6.82,22.48,5469,18,0.546,0,0.356
2,44,2,False,9.33,3.37,6.26,25.26,9443,17,0.546,0,0.356
2,45,3,False,9.7,2.63,5.73,24.51,2607,50,0.546,0,0.356
2,46,4,False,10.03,2.78,7.92,23.87,7919,21,0.546,0,0.356
2,47,5,True,5.86,3.08,6.68,25.34,9370,25,0.546,0,0.356
2,48,6,True,5.32,4.66,6.85,24.31,8749,39,0.546,0,0.356
2,49,0,False,8.86,2.97,4.33,23.08,6944,25,0.546,0,0.356
2,50,1,False,11.23,3.46,4.98,23.51,9783,37,0.546,0,0.356
2,51,2,False,9.49,2.87,7.09,23.26,8309,49,0.546,0,0.356
2,52,3,False,9.67,2.67,6.35,23.76,5629,33,0.546,0,0.356
2,53,4,False,10.58,2.95,5.53,23.29,7496,20,0.546,0,0.356
2,54,5,True,3.19,4.27,7.01,24.74,9818,34,0.546,0,0.356
2,55,6,True,3.79,3.3,6.24,24.62,9005,22,0.546,0,0.356
3,0,0,False,6.84,3.12,6.63,26.08,6498,23,0.438,0,0.228
3,1,1,False,7.62,2.94,5.91,23.28,6822,9,0.438,0,0.228
3,2,2,False,9.66,2.35,5.68,22.77,6211,26,0.438,0,0.228
3,3,3,False,8.72,3.1,7.08,24.58,8528,43,0.438,0,0.228
3,4,4,False,9.3,2.79,6.67,24.86,8057,14,0.438,0,0.228
3,5,5,True,2.87,2.65,7.05,23.95,9498,42,0.438,0,0.228
3,6,6,True,4.91,3.54,5.33,24.37,6882,12,0.438,0,0.228
3,7,0,False,8.44,3.61,6.15,25.65,7350,53,0.438,0,0.228
3,8,1,False,8.91,2.83,4.5,24.89,6331,22,0.438,0,0.228
3,9,2,False,10.01,3.51,6.79,23.66,7008,28,0.438,0,0.228
3,10,3,False,9.51,3.75,6.06,25.62,8430,26,0.438,0,0.228
3,11,4,False,9.56,3.84,7.61,24.96,7123,26,0.438,0,0.228
3,12,5,True,4.29,3.82,6.73,24.34,7870,25,0.438,0,0.228
3,13,6,True,3.55,2.89,7.95,23.76,7872,20,0.438,0,0.228
3,14,0,False,9.45,3.63,7.26,24.13,7946,27,0.438,0,0.228
3,15,1,False,9.26,3.0,5.77,24.08,7762,26,0.438,0,0.228
3,16,2,False,8.49,3.84,8.29,22.95,5195,19,0.438,0,0.228
3,17,3,False,8.63,3.35,6.28,24.11,7878,22,0.438,0,0.228
3,18,4,False,8.49,2.8,4.21,22.99,5402,36,0.438,0,0.228
3,19,5,True,3.96,3.18,4.57,22.72,8788,1,0.438,0,0.228
3,20,6,True,4.94,1.72,7.11,23.22,9366,61,0.438,0,0.228
3,21,0,False,6.46,3.23,4.0,24.32,6774,30,0.438,0,0.228
3,22,1,False,7.82,3.28,4.34,25.0,6471,15,0.438,0,0.228
3,23,2,False,10.33,2.77,7.53,24.99,5887,28,0.438,0,0.228
3,24,3,False,8.85,3.73,6.13,24.11,6785,28,0.438,0,0.228
3,25,4,False,10.04,2.82,5.34,23.49,6254,15,0.438,0,0.228
3,26,5,True,2.96,3.71,6.12,24.55,4075,34,0.438,0,0.228
3,27,6,True,3.55,2.52,6.49,23.55,4607,38,0.438,0,0.228
3,28,0,False,8.97,2.62,4.8,22.73,7420,45,0.438,0,0.228
3,29,1,False,8.93,1.98,5.93,23.92,8380,35,0.438,0,0.228
3,30,2,False,5.75,3.14,4.76,22.77,6802,33,0.438,0,0.228
3,31,3,False,7.09,3.24,6.44,24.0,5783,19,0.438,0,0.228
3,32,4,False,9.76,1.91,6.72,23.82,6941,11,0.438,0,0.228
3,33,5,True,3.57,3.18,5.04,24.38,7926,22,0.438,0,0.228
3,34,6,True,4.57,1.49,6.64,25.32,9953,32,0.438,0,0.228
3,35,0,False,8.43,2.43,5.43,24.42,5874,36,0.438,0,0.228
3,36,1,False,10.86,2.78,4.44,22.84,8249,28,0.438,0,0.228
3,37,2,False,9.61,2.49,6.5,23.83,5986,25,0.438,0,0.228
3,38,3,False,7.53,4.01,5.62,24.5,6279,18,0.438,0,0.228
3,39,4,False,8.5,3.47,5.22,23.23,7318,34,0.438,0,0.228
3,40,5,True,5.36,3.03,6.93,24.57,6063,19,0.438,0,0.228
3,41,6,True,2.63,2.01,7.07,24.21,7912,3,0.438,0,0.228
3,42,0,False,10.79,2.28,7.66,22.75,5866,7,0.438,0,0.228
3,43,1,False,9.09,2.15,4.69,22.81,8250,36,0.438,0,0.228
3,44,2,False,10.54,2.4,5.92,22.88,6582,23,0.438,0,0.228
3,45,3,False,9.2,3.42,6.65,23.26,8582,28,0.438,0,0.228
3,46,4,False,8.41,2.39,5.18,25.42,7546,30,0.438,0,0.228
3,47,5,True,3.45,4.28,7.55,23.36,7382,26,0.438,0,0.228
3,48,6,True,3.86,2.39,6.73,25.18,5822,17,0.438,0,0.228
3,49,0,False,8.25,2.55,7.61,24.8,8501,26,0.438,0,0.228
3,50,1,False,8.45,1.94,6.46,24.37,9013,26,0.438,0,0.228
3,51,2,False,8.59,2.92,6.56,22.73,8189,28,0.438,0,0.228
3,52,3,False,7.67,1.56,5.58,25.18,9596,32,0.438,0,0.228
3,53,4,False,10.69,2.79,6.62,23.59,6313,22,0.438,0,0.228
3,54,5,True,1.65,3.59,5.7,23.29,6023,27,0.438,0,0.228
3,55,6,True,5.48,4.07,4.74,23.67,6241,38,0.438,0,0.228
4,0,0,False,8.81,4.22,6.52,24.95,1944,24,0.584,0,0.825
4,1,1,False,11.37,4.05,3.96,23.98,4142,42,0.584,0,0.825
4,2,2,False,9.53,2.79,5.97,21.72,4317,25,0.584,0,0.825
4,3,3,False,10.13,2.09,5.53,25.28,3767,27,0.584,0,0.825
4,4,4,False,9.35,4.28,5.69,24.12,7227,12,0.584,0,0.825
4,5,5,True,4.03,2.98,6.39,25.12,7370,17,0.584,0,0.825
4,6,6,True,4.38,4.15,5.65,24.43,6249,24,0.584,0,0.825
4,7,0,False,7.65,4.1,5.11,25.3,5012,19,0.584,0,0.825
4,8,1,False,10.5,3.85,6.16,25.04,5512,25,0.584,0,0.825
4,9,2,False,8.62,3.8,5.19,25.75,5471,25,0.584,0,0.825
4,10,3,False,10.04,3.27,5.62,24.26,7285,18,0.584,0,0.825
4,11,4,False,9.16,3.26,6.86,24.19,8657,23,0.584,0,0.825
4,12,5,True,4.01,3.15,5.13,23.27,5743,36,0.584,0,0.825
4,13,6,True,4.21,2.96,7.84,25.81,8422,16,0.584,0,0.825
4,14,0,False,8.79,4.34,6.19,24.02,7022,35,0.584,0,0.825
4,15,1,False,8.71,3.39,6.92,23.14,5963,14,0.584,0,0.825
4,16,2,False,8.3,2.92,6.44,23.97,4972,25,0.584,0,0.825
4,17,3,False,8.14,3.51,7.14,24.21,5641,29,0.584,0,0.825
4,18,4,False,7.25,3.58,9.25,24.17,5766,32,0.584,0,0.825
4,19,5,True,5.89,3.84,4.23,24.84,10397,31,0.584,0,0.825
4,20,6,True,3.09,3.42,5.17,25.5,5105,26,0.584,0,0.825
4,21,0,False,8.42,2.93,7.52,24.39,5106,13,0.584,0,0.825
4,22,1,False,7.41,2.5,6.05,25.25,5104,41,0.584,0,0.825
4,23,2,False,8.57,3.11,4.78,25.26,9091,7,0.584,0,0.825
4,24,3,False,8.94,4.01,4.39,24.84,7777,26,0.584,0,0.825
4,25,4,False,9.83,4.31,8.01,24.22,5146,16,0.584,0,0.825
4,26,5,True,5.22,2.43,6.26,24.39,5784,28,0.584,0,0.825
4,27,6,True,6.81,3.18,6.07,25.29,6898,39,0.584,0,0.825
4,28,0,False,9.45,3.1,4.03,22.69,3191,29,0.584,0,0.825
4,29,1,False,7.92,4.01,5.97,24.05,4679,31,0.584,0,0.825
4,30,2,False,8.48,2.66,7.2,24.64,5592,31,0.584,0,0.825
4,31,3,False,9.29,3.48,5.06,26.32,5075,40,0.584,0,0.825
4,32,4,False,9.09,3.74,6.72,25.41,4684,36,0.584,0,0.825
4,33,5,True,6.09,3.1,6.57,23.77,6019,42,0.584,0,0.825
4,34,6,True,3.24,2.69,8.25,24.9,9720,20,0.584,0,0.825
4,35,0,False,9.41,2.86,6.09,22.54,6972,28,0.584,0,0.825
4,36,1,False,9.22,3.02,4.98,25.0,4188,30,0.584,0,0.825
4,37,2,False,11.36,4.14,4.33,23.76,6577,24,0.584,0,0.825
4,38,3,False,7.88,3.48,5.92,26.17,5565,37,0.584,0,0.825
4,39,4,False,8.02,2.64,6.7,25.35,4508,25,0.584,0,0.825
4,40,5,True,2.86,3.14,7.43,23.86,6165,14,0.584,0,0.825
4,41,6,True,3.6,4.31,6.61,23.3,6067,9,0.584,0,0.825
4,42,0,False,8.27,4.07,5.78,26.15,5801,25,0.584,0,0.825
4,43,1,False,9.92,1.65,6.15,24.24,8174,35,0.584,0,0.825
4,44,2,False,8.15,4.0,5.65,23.4,6240,23,0.584,0,0.825
4,45,3,False,10.82,3.46,6.15,25.17,7584,33,0.584,0,0.825
4,46,4,False,10.7,3.62,6.11,25.51,5808,25,0.584,0,0.825
4,47,5,True,5.97,4.23,6.53,23.84,8734,33,0.584,0,0.825
4,48,6,True,4.56,3.06,6.89,24.26,5542,26,0.584,0,0.825
4,49,0,False,9.55,3.03,6.9,25.55,7399,22,0.584,0,0.825
4,50,1,False,10.04,3.3,4.61,24.95,6164,51,0.584,0,0.825
4,51,2,False,10.74,3.68,6.2,24.45,4439,7,0.584,0,0.825
4,52,3,False,8.41,3.22,3.69,23.75,5573,23,0.584,0,0.825
4,53,4,False,8.62,3.05,7.77,24.94,5104,24,0.584,0,0.825
4,54,5,True,4.22,2.79,5.71,25.28,5909,14,0.584,0,0.825
4,55,6,True,4.2,3.32,4.43,24.25,7841,29,0.584,0,0.825
5,0,0,False,12.88,3.96,6.55,25.51,6322,24,0.668,0,0.871
5,1,1,False,9.44,3.74,5.63,23.74,7781,21,0.668,0,0.871
5,2,2,False,8.16,2.63,5.06,23.53,7783,25,0.668,0,0.871
5,3,3,False,11.15,3.96,7.58,25.12,7476,34,0.668,0,0.871
5,4,4,False,11.0,3.73,7.81,21.96,6725,20,0.668,0,0.871
5,5,5,True,5.85,4.45,5.32,25.98,6120,11,0.668,0,0.871
5,6,6,True,4.46,3.31,5.2,25.16,8896,33,0.668,0,0.871
5,7,0,False,9.65,3.48,6.33,26.27,2910,13,0.668,0,0.871
5,8,1,False,10.09,2.85,6.07,24.34,6175,23,0.668,0,0.871
5,9,2,False,10.71,3.36,5.85,24.29,7150,5,0.668,0,0.871
5,10,3,False,10.55,3.23,7.8,25.1,8916,13,0.668,0,0.871
5,11,4,False,9.71,2.76,5.57,25.81,9392,11,0.668,0,0.871
5,12,5,True,4.24,3.46,7.63,22.59,5473,28,0.668,0,0.871
5,13,6,True,2.75,3.24,7.15,24.91,7665,19,0.668,0,0.871
5,14,0,False,10.93,3.68,5.63,24.51,7736,40,0.668,0,0.871
5,15,1,False,10.87,4.23,5.67,23.91,6808,21,0.668,0,0.871
5,16,2,False,9.08,4.26,7.37,24.14,8124,25,0.668,0,0.871
5,17,3,False,10.8,2.7,6.2,24.41,8096,17,0.668,0,0.871
5,18,4,False,7.58,2.86,6.3,24.54,9687,29,0.668,0,0.871
5,19,5,True,4.78,3.49,8.22,23.84,7667,12,0.668,0,0.871
5,20,6,True,6.12,3.74,6.16,24.35,8642,20,0.668,0,0.871
5,21,0,False,9.55,3.11,6.75,24.09,6480,9,0.668,0,0.871
5,22,1,False,10.16,3.4,6.0,24.68,8283,30,0.668,0,0.871
5,23,2,False,10.64,3.36,5.72,23.36,6271,23,0.668,0,0.871
5,24,3,False,9.3,3.56,5.27,22.7,8390,18,0.668,0,0.871
5,25,4,False,9.25,2.85,6.85,25.94,6556,21,0.668,0,0.871
5,26,5,True,5.77,2.42,9.2,27.08,3818,22,0.668,0,0.871
5,27,6,True,3.98,3.35,6.49,25.34,7708,14,0.668,0,0.871
5,28,0,False,9.91,3.81,5.02,22.71,10150,16,0.668,0,0.871
5,29,1,False,9.95,3.27,6.99,26.36,8031,8,0.668,0,0.871
5,30,2,False,8.7,3.27,6.06,22.63,8390,12,0.668,0,0.871
5,31,3,False,11.58,4.6,6.08,24.94,5313,29,0.668,0,0.871
5,32,4,False,9.59,2.85,6.04,23.97,6673,32,0.668,0,0.871
5,33,5,True,3.91,4.55,5.46,26.2,6352,23,0.668,0,0.871
5,34,6,True,4.21,3.3,7.88,26.07,9663,19,0.668,0,0.871
5,35,0,False,10.27,3.04,5.24,23.25,6505,25,0.668,0,0.871
5,36,1,False,8.17,3.48,8.09,25.67,6283,9,0.668,0,0.871
5,37,2,False,10.54,2.11,7.63,24.24,9908,6,0.668,0,0.871
5,38,3,False,11.0,3.44,5.99,23.01,8055,30,0.668,0,0.871
5,39,4,False,11.87,4.11,5.69,23.4,5108,38,0.668,0,0.871
5,40,5,True,3.92,4.39,7.56,24.82,7417,29,0.668,0,0.871
5,41,6,True,4.68,3.28,7.76,24.32,6680,29,0.668,0,0.871
5,42,0,False,10.02,3.8,5.85,23.18,9764,38,0.668,0,0.871
5,43,1,False,10.97,3.27,6.03,25.95,6630,16,0.668,0,0.871
5,44,2,False,11.96,3.48,8.37,22.98,7938,44,0.668,0,0.871
5,45,3,False,10.11,3.35,5.04,25.63,6006,22,0.668,0,0.871
5,46,4,False,8.85,4.44,7.68,24.44,5430,38,0.668,0,0.871
5,47,5,True,4.33,2.84,4.97,23.78,5695,17,0.668,0,0.871
5,48,6,True,5.44,3.28,7.37,23.7,7975,42,0.668,0,0.871
5,49,0,False,9.74,3.74,4.59,26.09,6445,33,0.668,0,0.871
5,50,1,False,9.96,3.87,7.13,23.99,8799,15,0.668,0,0.871
5,51,2,False,10.86,3.27,6.76,23.98,7236,12,0.668,0,0.871
5,52,3,False,10.33,3.53,5.75,24.41,7362,17,0.668,0,0.871
5,53,4,False,9.96,2.9,9.03,25.6,7571,35,0.668,0,0.871
5,54,5,True,2.72,1.97,6.51,23.0,7522,25,0.668,0,0.871
5,55,6,True,5.62,2.82,7.42,24.49,8398,18,0.668,0,0.871
6,0,0,False,8.75,3.27,6.46,23.7,7818,25,0.442,0,0.087
6,1,1,False,6.87,0.99,7.73,25.01,9701,28,0.442,0,0.087
6,2,2,False,8.24,2.57,6.53,23.12,9343,51,0.442,0,0.087
6,3,3,False,10.01,2.82,5.28,25.27,6984,26,0.442,0,0.087
6,4,4,False,10.02,2.47,6.66,22.76,8500,27,0.442,0,0.087
6,5,5,True,5.12,2.71,6.99,22.95,8696,20,0.442,0,0.087
6,6,6,True,3.48,2.83,7.23,22.54,7210,36,0.442,0,0.087
6,7,0,False,9.16,2.69,6.67,23.87,5324,28,0.442,0,0.087
6,8,1,False,10.53,2.2,6.16,22.81,8282,28,0.442,0,0.087
6,9,2,False,8.69,2.88,5.37,23.1,4679,18,0.442,0,0.087
6,10,3,False,10.89,2.39,6.96,23.27,8009,18,0.442,0,0.087
6,11,4,False,9.57,2.86,8.74,24.5,5980,35,0.442,0,0.087
6,12,5,True,6.1,1.85,6.32,23.77,6931,25,0.442,0,0.087
6,13,6,True,2.66,3.67,5.76,23.8,9125,28,0.442,0,0.087
6,14,0,False,8.56,2.02,6.3,23.33,7178,14,0.442,0,0.087
6,15,1,False,10.35,2.9,6.7,25.19,6213,21,0.442,0,0.087
6,16,2,False,8.99,2.71,6.43,23.27,3835,23,0.442,0,0.087
6,17,3,False,9.9,2.91,7.66,25.62,8009,42,0.442,0,0.087
6,18,4,False,10.3,3.85,8.28,24.77,7929,26,0.442,0,0.087
